time,open,high,low,close,Volume
1982-06-18,1.9322,1.9322,1.9322,1.9322,0
1982-06-21,1.9322,1.9322,1.9322,1.9322,0
1982-06-22,1.9477,1.9477,1.9477,1.9477,0
1982-06-23,1.9477,1.9477,1.9477,1.9477,0
1982-06-24,1.9398,1.9398,1.9398,1.9398,0
1982-06-25,1.9398,1.9398,1.9398,1.9398,0
1982-06-28,1.9515,1.9515,1.9515,1.9515,0
1982-06-29,1.9515,1.9515,1.9515,1.9515,0
1982-06-30,1.9358,1.9358,1.9358,1.9358,0
1982-07-01,1.9358,1.9358,1.9358,1.9358,0
1982-07-02,1.9358,1.9358,1.9358,1.9358,0
1982-07-06,1.9358,1.9358,1.9358,1.9358,0
1982-07-07,1.9552,1.9552,1.9552,1.9552,0
1982-07-08,1.9552,1.9552,1.9552,1.9552,0
1982-07-09,1.9552,1.9552,1.9552,1.9552,0
1982-07-12,1.9395,1.9395,1.9395,1.9395,0
1982-07-13,1.9395,1.9395,1.9395,1.9395,0
1982-07-14,1.9395,1.9395,1.9395,1.9395,0
1982-07-15,1.9395,1.9395,1.9395,1.9395,0
1982-07-16,1.9395,1.9395,1.9395,1.9395,0
1982-07-19,1.9298,1.9298,1.9298,1.9298,0
1982-07-20,1.9298,1.9298,1.9298,1.9298,0
1982-07-21,1.9298,1.9298,1.9298,1.9298,0
1982-07-22,1.9086,1.9086,1.9086,1.9086,0
1982-07-23,1.9086,1.9086,1.9086,1.9086,0
1982-07-26,1.8857,1.8857,1.8857,1.8857,0
1982-07-27,1.9026,1.9026,1.9026,1.9026,0
1982-07-28,1.9026,1.9026,1.9026,1.9026,0
1982-07-29,1.9312,1.9312,1.9312,1.9312,0
1982-07-30,1.9312,1.9312,1.9312,1.9312,0
1982-08-02,1.9312,1.9312,1.9312,1.9312,0
1982-08-03,1.9196,1.9196,1.9196,1.9196,0
1982-08-04,1.9292,1.9292,1.9292,1.9292,0
1982-08-05,1.9446,1.9446,1.9446,1.9446,0
1982-08-06,1.9525,1.9525,1.9525,1.9525,0
1982-08-09,1.9661,1.9661,1.9661,1.9661,0
1982-08-10,1.9661,1.9661,1.9661,1.9661,0
1982-08-11,1.9661,1.9661,1.9661,1.9661,0
1982-08-12,1.9661,1.9661,1.9661,1.9661,0
1982-08-13,1.9661,1.9661,1.9661,1.9661,0
1982-08-16,1.9661,1.9661,1.9661,1.9661,0
1982-08-17,1.9661,1.9661,1.9661,1.9661,0
1982-08-18,1.9661,1.9661,1.9661,1.9661,0
1982-08-19,1.9484,1.9484,1.9484,1.9484,0
1982-08-20,1.9328,1.9328,1.9328,1.9328,0
1982-08-23,1.9193,1.9193,1.9193,1.9193,0
1982-08-24,1.9193,1.9193,1.9193,1.9193,0
1982-08-25,1.9078,1.9078,1.9078,1.9078,0
1982-08-26,1.9173,1.9173,1.9173,1.9173,0
1982-08-27,1.9173,1.9173,1.9173,1.9173,0
1982-08-30,1.9326,1.9326,1.9326,1.9326,0
1982-08-31,1.9501,1.9501,1.9501,1.9501,0
1982-09-01,1.9501,1.9501,1.9501,1.9501,0
1982-09-02,1.9501,1.9501,1.9501,1.9501,0
1982-09-03,1.9305,1.9305,1.9305,1.9305,0
1982-09-07,1.944,1.944,1.944,1.944,0
1982-09-08,1.944,1.944,1.944,1.944,0
1982-09-09,1.944,1.944,1.944,1.944,0
1982-09-10,1.944,1.944,1.944,1.944,0
1982-09-13,1.9577,1.9577,1.9577,1.9577,0
1982-09-14,1.9577,1.9577,1.9577,1.9577,0
1982-09-15,1.9577,1.9577,1.9577,1.9577,0
1982-09-16,1.9577,1.9577,1.9577,1.9577,0
1982-09-17,1.9577,1.9577,1.9577,1.9577,0
1982-09-20,1.9577,1.9577,1.9577,1.9577,0
1982-09-21,1.9577,1.9577,1.9577,1.9577,0
1982-09-22,1.9479,1.9479,1.9479,1.9479,0
1982-09-23,1.9577,1.9577,1.9577,1.9577,0
1982-09-24,1.9675,1.9675,1.9675,1.9675,0
1982-09-27,1.9675,1.9675,1.9675,1.9675,0
1982-09-28,1.9832,1.9832,1.9832,1.9832,0
1982-09-29,1.9832,1.9832,1.9832,1.9832,0
1982-09-30,1.9733,1.9733,1.9733,1.9733,0
1982-10-01,1.9733,1.9733,1.9733,1.9733,0
1982-10-04,1.9753,1.9753,1.9753,1.9753,0
1982-10-05,1.9931,1.9931,1.9931,1.9931,0
1982-10-06,1.9931,1.9931,1.9931,1.9931,0
1982-10-07,1.9931,1.9931,1.9931,1.9931,0
1982-10-08,1.9632,1.9632,1.9632,1.9632,0
1982-10-12,1.9612,1.9612,1.9612,1.9612,0
1982-10-13,1.9612,1.9612,1.9612,1.9612,0
1982-10-14,1.9729,1.9729,1.9729,1.9729,0
1982-10-15,1.9827,1.9827,1.9827,1.9827,0
1982-10-18,1.9827,1.9827,1.9827,1.9827,0
